classif_method,update_method_name,kr,kU,epochs,Jr 0,Jr Final,Jr % Change,Jc 0,Jc Final,Jc % Change,Tot Time,Acc 0,Acc Final,Acc % Change
c1,rW_niters,1.00E-05,0.001,10,6,5,17,6,6,0,09:59.9,0,0,0
c1,r_eq_W,1.00E-05,0.001,10,6,6,1,6,6,0,00:36.7,0,0,0
c1,r_niters_W,1.00E-05,0.001,10,6,3,38,6,6,0,04:27.6,0,0,0
c1,rW_niters,0.0001,0.001,10,6,2,67,6,6,1,09:55.5,0,0,0
c1,r_eq_W,0.0001,0.001,10,6,5,5,6,6,0,00:33.8,0,0,0
c1,r_niters_W,0.0001,0.001,10,6,0,93,6,6,1,04:15.3,0,0,0
c2,rW_niters,1.00E-05,0.001,10,16,11,28,16,15,3,11:17.0,0,0,0
c2,r_eq_W,1.00E-05,0.001,10,13,13,1,13,13,0,00:37.0,0,0,0
c2,r_niters_W,1.00E-05,0.001,10,12,6,47,12,11,3,04:34.5,0,0,0
c2,rW_niters,0.0001,0.001,10,11,2,83,11,9,17,11:17.2,0,0,0
c2,r_eq_W,0.0001,0.001,10,9,9,7,9,9,0,00:37.2,0,0,0
c2,r_niters_W,0.0001,0.001,10,10,0,95,10,7,24,04:31.2,0,0,0
